"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1974","","","4,735","4,700","4,764","4,751","4,614","4,682","4,682","4,718","4,666","4,631"
"1975","4,804","4,545","4,751","4,718","4,718","4,700","4,682","4,561","4,209","4,357","4,682","4,764"
"1976","4,700","4,718","4,631","4,735","4,649","4,858","4,545","4,375","4,682","4,718","4,786","4,751"
"1977","4,631","4,598","4,511","4,682","4,682","4,561","4,012","4,735","4,494","4,520","4,550","4,581"
"1978","4,529","4,666","4,598","4,718","4,631","4,631","4,718","4,598","---","4,751","4,581","4,930"
"1979","4,718","4,614","4,563","4,597","4,416","4,666","4,494","4,771","4,753","4,736","4,718","4,649"
"1980","4,528","4,824","4,597","4,426","4,511","3,997","3,981","4,618","4,614","4,494","4,632","4,597"
"1981","4,666","4,466","4,753","4,242","4,771","4,563","4,983","4,648","4,426","4,614","4,701","4,494"
"1982","4,701","4,876","4,701","4,750","4,800","4,876","4,632","4,947","4,876","4,649","4,597","4,545"
"1983","4,649","4,855","4,649","4,666","4,666","4,409","4,580","4,511","4,649","4,718","4,443","4,718"
"1984","4,736","4,701","4,753","4,580","4,894","4,704","4,824","4,545","4,136","4,829","4,850","4,771"
"1985","4,511","4,649","4,771","4,718","4,701","4,649","4,753","4,774","4,818","4,788","4,752","4,813"
"1986","4,759","4,771","4,759","4,666","4,824","4,377","4,678","4,217","4,759","4,694","4,774","4,725"
"1987","4,825","4,666","4,540","4,736","4,752","4,813","4,776","4,656","4,766","4,746","4,815","4,748"
"1988","4,797","4,623","4,687","4,736","4,764","4,540","4,621","4,753","4,651","4,736","4,806","4,607"
"1989","4,769","4,725","4,736","4,813","4,704","4,689","4,963","4,687","4,790","4,846","4,979","4,575"
"1990","4,621","4,831","4,787","4,802","4,792","4,743","4,440","4,258","4,494","4,841","4,983","4,876"
"1991","4,869","4,545","4,818","4,868","4,930","4,801","4,092","4,153","4,912","4,367","4,787","4,969"
"1992","4,727","4,128","4,671","4,632","4,928","4,846","4,684","5,069","4,806","4,532","4,947","4,736"
"1993","4,969","5,008","4,859","4,931","4,727","4,841","4,590","4,869","4,684","4,696","4,841","4,818"
"1994","4,910","4,613","4,736","4,771","4,753","4,275","5,006","4,962","5,062","5,028","4,710","5,008"
"1995","4,857","4,862","4,839","4,841","4,736","4,484","4,374","4,792","4,806","4,972","4,738","4,875"
"1996","4,808","4,335","4,914","5,063","4,857","4,614","4,477","4,852","4,953","4,894","4,894","4,838"
"1997","4,887","4,820","4,607","4,815","4,887","4,731","4,845","4,308","4,928","4,809","4,701","4,824"
"1998","4,658","4,808","4,576","4,725","4,739","4,455","4,457","4,731","4,834","4,741","4,760","4,804"
"1999","4,769","4,855","4,760","4,479","4,729","4,938","4,673","4,652","4,917","4,866","4,750","4,638"
"2000","4,588","4,588","4,799","4,647","4,609","4,766","4,836","4,755","4,573","4,597","4,771","4,727"
"2001","4,492","4,561","4,685","4,710","---","---","---","---","---","---","---","---"
"2002","---","---","---","---","---","---","---","---","---","---","---","---"
"2003","---","---","---","---","---","---","---","---","---","---","---","---"
"2004","---","---","---","---","---","---","---","---","---","---","---","---"
