Alameda County, California, Cooling Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
189512,318,-157
189612,430,-45
189712,422,-53
189812,476,1
189912,335,-140
190012,456,-19
190112,336,-139
190212,457,-18
190312,328,-147
190412,409,-66
190512,312,-163
190612,490,15
190712,265,-210
190812,367,-108
190912,287,-188
191012,259,-216
191112,194,-281
191212,317,-158
191312,571,96
191412,303,-172
191512,374,-101
191612,257,-218
191712,409,-66
191812,435,-40
191912,283,-192
192012,349,-126
192112,393,-82
192212,447,-28
192312,367,-108
192412,354,-121
192512,339,-136
192612,474,-1
192712,326,-149
192812,346,-129
192912,424,-51
193012,277,-198
193112,590,115
193212,435,-40
193312,418,-57
193412,454,-21
193512,359,-116
193612,601,126
193712,520,45
193812,429,-46
193912,515,40
194012,462,-13
194112,417,-58
194212,416,-59
194312,404,-71
194412,383,-92
194512,543,68
194612,369,-106
194712,466,-9
194812,339,-136
194912,390,-85
195012,531,56
195112,397,-78
195212,522,47
195312,439,-36
195412,403,-72
195512,368,-107
195612,414,-61
195712,574,99
195812,701,226
195912,645,170
196012,580,105
196112,645,170
196212,418,-57
196312,469,-6
196412,466,-9
196512,403,-72
196612,519,44
196712,666,191
196812,497,22
196912,587,112
197012,502,27
197112,535,60
197212,525,50
197312,506,31
197412,527,52
197512,398,-77
197612,504,29
197712,507,32
197812,635,160
197912,707,232
198012,440,-35
198112,668,193
198212,420,-55
198312,679,204
198412,815,340
198512,614,139
198612,482,7
198712,573,98
198812,644,169
198912,489,14
199012,681,206
199112,532,57
199212,774,299
199312,621,146
199412,493,18
199512,628,153
199612,725,250
199712,751,276
199812,580,105
199912,482,7
200012,555,80
200112,688,213
200212,594,119
200312,771,296
200412,652,177
200512,600,125
200612,702,227
200712,561,86
200812,682,207
200912,663,188
201012,465,-10
201112,518,43
201212,587,112
201312,656,181
201412,864,389
201512,885,410
201612,663,188
201712,868,393
201812,651,176
201912,728,253
202012,1134,659
202112,783,308
