Alameda County, California, Maximum Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,67.4,-1.2
189612,67.9,-0.7
189712,66.9,-1.7
189812,67.6,-1.0
189912,67.3,-1.3
190012,68.5,-0.1
190112,68.5,-0.1
190212,67.6,-1.0
190312,68.1,-0.5
190412,68.4,-0.2
190512,68.6,0.0
190612,68.5,-0.1
190712,66.6,-2.0
190812,67.4,-1.2
190912,66.6,-2.0
191012,67.7,-0.9
191112,66.2,-2.4
191212,67.5,-1.1
191312,68.7,0.1
191412,68.1,-0.5
191512,67.9,-0.7
191612,66.4,-2.2
191712,68.1,-0.5
191812,68.0,-0.6
191912,67.4,-1.2
192012,67.3,-1.3
192112,68.2,-0.4
192212,67.1,-1.5
192312,68.5,-0.1
192412,68.9,0.3
192512,68.0,-0.6
192612,70.3,1.7
192712,68.3,-0.3
192812,68.3,-0.3
192912,68.6,0.0
193012,67.9,-0.7
193112,69.8,1.2
193212,69.2,0.6
193312,68.4,-0.2
193412,70.3,1.7
193512,67.9,-0.7
193612,70.9,2.3
193712,69.0,0.4
193812,68.2,-0.4
193912,70.5,1.9
194012,69.8,1.2
194112,68.8,0.2
194212,68.3,-0.3
194312,69.8,1.2
194412,68.7,0.1
194512,68.9,0.3
194612,68.2,-0.4
194712,69.2,0.6
194812,67.5,-1.1
194912,67.9,-0.7
195012,69.2,0.6
195112,67.6,-1.0
195212,68.0,-0.6
195312,68.8,0.2
195412,68.4,-0.2
195512,67.9,-0.7
195612,68.7,0.1
195712,68.5,-0.1
195812,70.3,1.7
195912,71.4,2.8
196012,69.2,0.6
196112,69.0,0.4
196212,68.1,-0.5
196312,67.3,-1.3
196412,68.2,-0.4
196512,67.4,-1.2
196612,69.1,0.5
196712,68.6,0.0
196812,68.6,0.0
196912,68.7,0.1
197012,69.3,0.7
197112,67.6,-1.0
197212,68.0,-0.6
197312,68.4,-0.2
197412,68.5,-0.1
197512,67.4,-1.2
197612,69.7,1.1
197712,69.0,0.4
197812,69.2,0.6
197912,69.3,0.7
198012,69.0,0.4
198112,70.1,1.5
198212,67.0,-1.6
198312,68.6,0.0
198412,70.1,1.5
198512,68.6,0.0
198612,70.2,1.6
198712,69.7,1.1
198812,70.4,1.8
198912,69.1,0.5
199012,69.6,1.0
199112,69.1,0.5
199212,70.5,1.9
199312,69.2,0.6
199412,68.2,-0.4
199512,69.6,1.0
199612,70.8,2.2
199712,70.7,2.1
199812,67.3,-1.3
199912,68.6,0.0
200012,69.2,0.6
200112,70.3,1.7
200212,69.8,1.2
200312,70.1,1.5
200412,69.9,1.3
200512,69.5,0.9
200612,69.5,0.9
200712,69.8,1.2
200812,70.1,1.5
200912,69.7,1.1
201012,68.2,-0.4
201112,68.4,-0.2
201212,70.3,1.7
201312,70.8,2.2
201412,72.8,4.2
201512,71.9,3.3
201612,70.8,2.2
201712,71.2,2.6
201812,70.7,2.1
201912,70.0,1.4
202012,72.9,4.3
202112,71.0,2.4
