Alameda County, California, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,-4
189505,13,-6
189506,76,10
189507,93,-45
189508,90,-41
189509,36,-60
189510,10,-11
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,-4
189605,6,-13
189606,66,0
189607,190,52
189608,108,-23
189609,47,-49
189610,13,-8
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,7,3
189705,32,13
189706,60,-6
189707,136,-2
189708,106,-25
189709,75,-21
189710,6,-15
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,9,5
189805,0,-19
189806,88,22
189807,148,10
189808,139,8
189809,71,-25
189810,21,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,-4
189905,5,-14
189906,70,4
189907,107,-31
189908,69,-62
189909,79,-17
189910,5,-16
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,-4
190005,29,10
190006,74,8
190007,155,17
190008,107,-24
190009,79,-17
190010,12,-9
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,-4
190105,8,-11
190106,53,-13
190107,89,-49
190108,111,-20
190109,40,-56
190110,35,14
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,-4
190205,0,-19
190206,68,2
190207,141,3
190208,130,-1
190209,105,9
190210,13,-8
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,-4
190305,16,-3
190306,69,3
190307,58,-80
190308,82,-49
190309,71,-25
190310,32,11
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,-4
190405,29,10
190406,81,15
190407,83,-55
190408,89,-42
190409,114,18
190410,13,-8
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,-4
190505,0,-19
190506,27,-39
190507,124,-14
190508,86,-45
190509,66,-30
190510,9,-12
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,-4
190605,7,-12
190606,41,-25
190607,206,68
190608,134,3
190609,79,-17
190610,23,2
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,6,2
190705,10,-9
190706,29,-37
190707,84,-54
190708,90,-41
190709,32,-64
190710,14,-7
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,5,1
190805,0,-19
190806,21,-45
190807,171,33
190808,96,-35
190809,74,-22
190810,0,-21
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,5,1
190905,6,-13
190906,33,-33
190907,77,-61
190908,83,-48
190909,75,-21
190910,8,-13
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,6,2
191005,26,7
191006,17,-49
191007,94,-44
191008,71,-60
191009,29,-67
191010,16,-5
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,-4
191105,0,-19
191106,21,-45
191107,104,-34
191108,41,-90
191109,22,-74
191110,6,-15
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,-4
191205,12,-7
191206,61,-5
191207,77,-61
191208,88,-43
191209,79,-17
191210,0,-21
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,-4
191305,15,-4
191306,36,-30
191307,157,19
191308,195,64
191309,141,45
191310,27,6
191311,0,0
191312,0,0
191401,0,0
191402,0,0
191403,0,0
191404,5,1
191405,14,-5
191406,31,-35
191407,92,-46
191408,96,-35
191409,49,-47
191410,16,-5
191411,0,0
191412,0,0
191501,0,0
191502,0,0
191503,0,0
191504,0,-4
191505,0,-19
191506,38,-28
191507,108,-30
191508,145,14
191509,66,-30
191510,17,-4
191511,0,0
191512,0,0
191601,0,0
191602,0,0
191603,0,0
191604,5,1
191605,5,-14
191606,28,-38
191607,106,-32
191608,62,-69
191609,51,-45
191610,0,-21
191611,0,0
191612,0,0
191701,0,0
191702,0,0
191703,0,0
191704,0,-4
191705,0,-19
191706,45,-21
191707,195,57
191708,57,-74
191709,88,-8
191710,24,3
191711,0,0
191712,0,0
191801,0,0
191802,0,0
191803,0,0
191804,0,-4
191805,0,-19
191806,125,59
191807,85,-53
191808,138,7
191809,61,-35
191810,26,5
191811,0,0
191812,0,0
191901,0,0
191902,0,0
191903,0,0
191904,0,-4
191905,15,-4
191906,36,-30
191907,76,-62
191908,96,-35
191909,60,-36
191910,0,-21
191911,0,0
191912,0,0
192001,0,0
192002,0,0
192003,0,0
192004,0,-4
192005,11,-8
192006,60,-6
192007,75,-63
192008,153,22
192009,50,-46
192010,0,-21
192011,0,0
192012,0,0
192101,0,0
192102,0,0
192103,0,0
192104,0,-4
192105,5,-14
192106,85,19
192107,136,-2
192108,81,-50
192109,70,-26
192110,16,-5
192111,0,0
192112,0,0
192201,0,0
192202,0,0
192203,0,0
192204,0,-4
192205,15,-4
192206,60,-6
192207,135,-3
192208,91,-40
192209,139,43
192210,7,-14
192211,0,0
192212,0,0
192301,0,0
192302,0,0
192303,0,0
192304,0,-4
192305,10,-9
192306,15,-51
192307,92,-46
192308,116,-15
192309,121,25
192310,13,-8
192311,0,0
192312,0,0
192401,0,0
192402,0,0
192403,0,0
192404,7,3
192405,36,17
192406,65,-1
192407,73,-65
192408,95,-36
192409,78,-18
192410,0,-21
192411,0,0
192412,0,0
192501,0,0
192502,0,0
192503,0,0
192504,0,-4
192505,17,-2
