Alameda County, California, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
189501,614,37
189502,419,-15
189503,446,38
189504,318,20
189505,189,8
189506,49,-16
189507,20,9
189508,19,8
189509,74,45
189510,159,30
189511,413,54
189512,640,84
189601,491,-86
189602,389,-45
189603,381,-27
189604,432,134
189605,241,60
189606,58,-7
189607,0,-11
189608,13,2
189609,61,32
189610,143,14
189611,449,90
189612,494,-62
189701,641,64
189702,513,79
189703,582,174
189704,248,-50
189705,126,-55
189706,63,-2
189707,8,-3
189708,13,2
189709,35,6
189710,192,63
189711,445,86
189712,589,33
189801,699,122
189802,419,-15
189803,483,75
189804,237,-61
189805,262,81
189806,39,-26
189807,7,-4
189808,7,-4
189809,38,9
189810,114,-15
189811,379,20
189812,613,57
189901,462,-115
189902,446,12
189903,445,37
189904,292,-6
189905,258,77
189906,54,-11
189907,15,4
189908,31,20
189909,32,3
189910,195,66
189911,333,-26
189912,592,36
190001,538,-39
190002,436,2
190003,347,-61
190004,334,36
190005,132,-49
190006,50,-15
190007,6,-5
190008,13,2
190009,32,3
190010,146,17
190011,284,-75
190012,517,-39
190101,577,0
190102,416,-18
190103,363,-45
190104,374,76
190105,224,43
190106,72,7
190107,22,11
190108,12,1
190109,68,39
190110,87,-42
190111,299,-60
190112,564,8
190201,680,103
190202,418,-16
190203,503,95
190204,350,52
190205,281,100
190206,56,-9
190207,8,-3
190208,8,-3
190209,18,-11
190210,142,13
190211,404,45
190212,546,-10
190301,606,29
190302,576,142
190303,463,55
190304,358,60
190305,172,-9
190306,56,-9
190307,44,33
190308,22,11
190309,38,9
190310,91,-38
190311,329,-30
190312,553,-3
190401,625,48
190402,477,43
190403,429,21
190404,322,24
190405,132,-49
190406,45,-20
190407,25,14
190408,19,8
190409,15,-14
190410,139,10
190411,342,-17
190412,586,30
190501,529,-48
190502,422,-12
190503,344,-64
190504,297,-1
190505,273,92
190506,107,42
190507,11,0
190508,20,9
190509,42,13
190510,164,35
190511,379,20
190512,614,58
190601,533,-44
190602,347,-87
190603,433,25
190604,307,9
190605,232,51
190606,86,21
190607,0,-11
190608,7,-4
190609,32,3
190610,108,-21
190611,390,31
190612,560,4
190701,617,40
190702,337,-97
190703,510,102
190704,260,-38
190705,208,27
190706,105,40
190707,25,14
190708,19,8
190709,79,50
190710,137,8
190711,331,-28
190712,500,-56
190801,536,-41
190802,501,67
190803,425,17
190804,276,-22
190805,267,86
190806,122,57
190807,0,-11
190808,16,5
190809,35,6
190810,214,85
190811,373,14
190812,678,122
190901,478,-99
190902,468,34
190903,514,106
190904,279,-19
190905,248,67
190906,97,32
190907,29,18
190908,22,11
190909,35,6
190910,173,44
190911,388,29
190912,632,76
191001,680,103
191002,513,79
191003,355,-53
191004,266,-32
191005,138,-43
191006,136,71
191007,19,8
191008,29,18
191009,83,54
191010,130,1
191011,385,26
191012,517,-39
191101,558,-19
191102,556,122
191103,411,3
191104,376,78
191105,280,99
191106,123,58
191107,16,5
191108,56,45
191109,97,68
191110,186,57
191111,386,27
191112,577,21
191201,512,-65
191202,400,-34
191203,504,96
191204,427,129
191205,198,17
191206,62,-3
191207,29,18
191208,20,9
191209,31,2
191210,204,75
191211,374,15
191212,563,7
191301,658,81
191302,454,20
191303,467,59
191304,326,28
191305,177,-4
191306,93,28
191307,6,-5
191308,0,-11
191309,9,-20
191310,100,-29
191311,370,11
191312,577,21
191401,518,-59
191402,439,5
191403,307,-101
191404,276,-22
191405,183,2
191406,101,36
191407,20,9
191408,16,5
191409,58,29
191410,129,0
191411,318,-41
191412,635,79
191501,587,10
191502,454,20
191503,349,-59
191504,301,3
191505,280,99
191506,90,25
191507,15,4
191508,6,-5
191509,42,13
191510,124,-5
191511,384,25
191512,521,-35
191601,674,97
191602,373,-61
191603,384,-24
191604,275,-23
191605,258,77
191606,106,41
191607,15,4
191608,36,25
191609,56,27
191610,291,162
191611,443,84
191612,645,89
191701,689,112
191702,465,31
191703,561,153
191704,341,43
191705,318,137
191706,81,16
191707,0,-11
191708,41,30
191709,26,-3
191710,106,-23
191711,318,-41
191712,451,-105
191801,533,-44
191802,464,30
191803,405,-3
191804,302,4
191805,266,85
191806,20,-45
191807,24,13
191808,7,-4
191809,47,18
191810,102,-27
191811,441,82
191812,658,102
191901,586,9
191902,496,62
191903,486,78
191904,309,11
191905,177,-4
191906,93,28
191907,29,18
191908,16,5
191909,47,18
191910,214,85
191911,419,60
191912,592,36
192001,529,-48
192002,447,13
192003,503,95
192004,336,38
192005,200,19
192006,64,-1
192007,30,19
192008,5,-6
192009,58,29
192010,222,93
192011,408,49
192012,569,13
192101,599,22
192102,433,-1
192103,405,-3
192104,322,24
192105,261,80
192106,41,-24
192107,8,-3
192108,23,12
192109,38,9
192110,128,-1
192111,342,-17
192112,516,-40
192201,745,168
192202,543,109
192203,512,104
192204,414,116
192205,180,-1
192206,63,-2
192207,9,-2
192208,18,7
192209,10,-19
192210,183,54
192211,465,106
192212,561,5
192301,664,87
192302,506,72
192303,376,-32
192304,342,44
192305,210,29
192306,144,79
192307,21,10
192308,11,0
192309,14,-15
192310,141,12
192311,259,-100
192312,586,30
192401,619,42
192402,340,-94
192403,441,33
192404,257,-41
192405,118,-63
192406,58,-7
192407,32,21
192408,17,6
192409,33,4
192410,209,80
192411,373,14
192412,651,95
192501,550,-27
192502,376,-58
192503,408,0
192504,304,6
192505,171,-10
192506,65,0
192507,7,-4
192508,26,15
192509,75,46
192510,166,37
192511,382,23
