Alameda County, California, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,51.5,-2.9
189502,59.3,1.3
189503,59.8,-1.6
189504,65.2,-0.7
189505,71.2,-0.1
189506,80.0,2.5
189507,80.0,-2.3
189508,80.3,-1.4
189509,76.0,-4.0
189510,70.9,-2.3
189511,62.2,-0.7
189512,52.0,-3.2
189601,56.3,1.9
189602,62.2,4.2
189603,62.2,0.8
189604,59.8,-6.1
189605,68.6,-2.7
189606,79.1,1.6
189607,84.0,1.7
189608,80.4,-1.3
189609,74.6,-5.4
189610,72.0,-1.2
189611,58.4,-4.5
189612,56.8,1.6
189701,51.2,-3.2
189702,54.0,-4.0
189703,54.6,-6.8
189704,69.1,3.2
189705,73.9,2.6
189706,78.0,0.5
189707,84.6,2.3
189708,81.1,-0.6
189709,77.7,-2.3
189710,67.1,-6.1
189711,58.0,-4.9
189712,54.1,-1.1
189801,50.5,-3.9
189802,58.0,0.0
189803,59.1,-2.3
189804,68.7,2.8
189805,66.0,-5.3
189806,79.1,1.6
189807,82.9,0.6
189808,81.7,0.0
189809,77.2,-2.8
189810,71.9,-1.3
189811,62.1,-0.8
189812,53.5,-1.7
189901,56.7,2.3
189902,59.1,1.1
189903,58.7,-2.7
189904,66.4,0.5
189905,68.0,-3.3
189906,78.3,0.8
189907,81.0,-1.3
189908,77.6,-4.1
189909,80.8,0.8
189910,68.2,-5.0
189911,60.1,-2.8
189912,52.4,-2.8
190001,53.4,-1.0
190002,58.4,0.4
190003,63.2,1.8
190004,63.9,-2.0
190005,74.2,2.9
190006,78.6,1.1
190007,83.4,1.1
190008,80.2,-1.5
190009,78.0,-2.0
190010,70.1,-3.1
190011,63.4,0.5
190012,55.3,0.1
190101,53.1,-1.3
190102,57.6,-0.4
190103,63.8,2.4
190104,63.8,-2.1
190105,68.6,-2.7
190106,78.9,1.4
190107,81.5,-0.8
190108,80.5,-1.2
190109,77.0,-3.0
190110,75.2,2.0
190111,64.6,1.7
190112,57.6,2.4
190201,52.5,-1.9
190202,56.4,-1.6
190203,58.3,-3.1
190204,64.1,-1.8
190205,68.0,-3.3
190206,80.1,2.6
190207,83.9,1.6
190208,81.7,0.0
190209,80.8,0.8
190210,70.6,-2.6
190211,59.8,-3.1
190212,55.0,-0.2
190301,52.4,-2.0
190302,54.0,-4.0
190303,58.2,-3.2
190304,63.6,-2.3
190305,72.4,1.1
190306,79.7,2.2
190307,79.4,-2.9
190308,81.7,0.0
190309,80.6,0.6
190310,77.0,3.8
190311,61.3,-1.6
190312,56.6,1.4
190401,55.4,1.0
190402,55.5,-2.5
190403,58.2,-3.2
190404,65.3,-0.6
190405,75.4,4.1
190406,80.5,3.0
190407,80.2,-2.1
190408,80.3,-1.4
190409,80.4,0.4
190410,71.1,-2.1
190411,64.7,1.8
190412,54.2,-1.0
190501,55.4,1.0
190502,59.0,1.0
190503,63.1,1.7
190504,65.9,0.0
190505,67.6,-3.7
190506,74.9,-2.6
190507,82.5,0.2
190508,81.4,-0.3
190509,79.8,-0.2
190510,74.5,1.3
190511,63.6,0.7
190512,55.2,0.0
190601,56.5,2.1
190602,59.7,1.7
190603,58.7,-2.7
190604,65.0,-0.9
190605,66.9,-4.4
190606,75.3,-2.2
190607,86.8,4.5
190608,82.3,0.6
190609,80.1,0.1
190610,75.9,2.7
190611,61.5,-1.4
190612,53.4,-1.8
190701,50.9,-3.5
190702,59.7,1.7
190703,55.2,-6.2
190704,65.8,-0.1
190705,69.3,-2.0
