Alameda County, California, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,38.8,0.4
189502,40.7,-0.3
189503,41.4,-1.0
189504,43.8,-0.7
189505,47.5,-0.8
189506,51.8,-0.8
189507,54.8,-1.1
189508,54.2,-1.8
189509,51.4,-3.0
189510,49.4,-0.4
189511,40.3,-2.9
189512,36.8,-2.2
189601,42.0,3.6
189602,40.0,-1.0
189603,43.3,0.9
189604,41.4,-3.1
189605,46.2,-2.1
189606,51.5,-1.1
189607,58.0,2.1
189608,55.8,-0.2
189609,54.4,0.0
189610,49.5,-0.3
189611,41.6,-1.6
189612,41.3,2.3
189701,37.4,-1.0
189702,39.4,-1.6
189703,37.8,-4.6
189704,44.8,0.3
189705,50.1,1.8
189706,51.7,-0.9
189707,53.6,-2.3
189708,54.9,-1.1
189709,54.9,0.5
189710,50.9,1.1
189711,42.3,-0.9
189712,37.8,-1.2
189801,34.4,-4.0
189802,42.1,1.1
189803,39.7,-2.7
189804,46.1,1.6
189805,47.4,-0.9
189806,54.2,1.6
189807,56.2,0.3
189808,56.9,0.9
189809,55.0,0.6
189810,52.0,2.2
189811,42.6,-0.6
189812,36.9,-2.1
189901,43.4,5.0
189902,39.0,-2.0
189903,42.6,0.2
189904,44.4,-0.1
189905,45.7,-2.6
189906,52.8,0.2
189907,54.9,-1.0
189908,54.8,-1.2
189909,52.3,-2.1
189910,49.6,-0.2
189911,47.6,4.4
189912,39.4,0.4
190001,41.9,3.5
190002,40.4,-0.6
190003,44.4,2.0
190004,43.8,-0.7
190005,49.1,0.8
190006,53.0,0.4
190007,56.2,0.3
190008,55.8,-0.2
190009,55.2,0.8
190010,51.2,1.4
190011,47.6,4.4
190012,41.3,2.3
190101,39.7,1.3
190102,42.7,1.7
190103,42.8,0.4
190104,41.2,-3.3
190105,47.4,-0.9
190106,49.8,-2.8
190107,52.9,-3.0
190108,55.8,-0.2
190109,51.1,-3.3
190110,51.5,1.7
190111,45.4,2.2
190112,36.0,-3.0
190201,33.6,-4.8
190202,43.7,2.7
190203,39.2,-3.2
190204,42.6,-1.9
190205,44.2,-4.1
190206,50.7,-1.9
190207,54.7,-1.2
190208,56.1,0.1
190209,55.0,0.6
190210,51.1,1.3
190211,43.3,0.1
190212,39.7,0.7
190301,38.5,0.1
190302,34.8,-6.2
190303,41.9,-0.5
190304,42.6,-1.9
190305,47.6,-0.7
190306,51.2,-1.4
190307,51.5,-4.4
190308,52.2,-3.8
190309,51.6,-2.8
190310,49.2,-0.6
190311,46.8,3.6
190312,37.7,-1.3
190401,34.2,-4.2
190402,40.4,-0.6
190403,44.1,1.7
190404,43.4,-1.1
190405,47.9,-0.4
190406,51.9,-0.7
190407,53.6,-2.3
190408,54.2,-1.8
190409,56.2,1.8
190410,50.8,1.0
190411,42.5,-0.7
190412,38.0,-1.0
190501,40.5,2.1
190502,40.8,-0.2
190503,44.7,2.3
190504,44.6,0.1
190505,45.1,-3.2
190506,49.8,-2.8
190507,54.7,-1.2
190508,52.8,-3.2
190509,51.8,-2.6
190510,45.5,-4.3
190511,41.1,-2.1
190512,35.2,-3.8
190601,39.1,0.7
190602,45.5,4.5
190603,43.4,1.0
190604,44.8,0.3
190605,48.6,0.3
190606,51.8,-0.8
190607,56.4,0.5
190608,55.8,-0.2
190609,53.0,-1.4
190610,48.6,-1.2
190611,42.5,-0.7
190612,40.5,1.5
190701,39.3,0.9
190702,46.2,5.2
190703,41.9,-0.5
190704,47.2,2.7
190705,47.9,-0.4
