Alameda County, California, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,19.61,0.86
189612,26.00,7.25
189712,16.48,-2.27
189812,9.65,-9.10
189912,24.20,5.45
190012,18.01,-0.74
190112,19.16,0.41
190212,20.31,1.56
190312,17.13,-1.62
190412,21.94,3.19
190512,18.33,-0.42
190612,29.79,11.04
190712,25.68,6.93
190812,12.09,-6.66
190912,32.11,13.36
191012,10.52,-8.23
191112,25.73,6.98
191212,12.78,-5.97
191312,15.47,-3.28
191412,22.97,4.22
191512,25.13,6.38
191612,24.02,5.27
191712,8.85,-9.90
191812,15.61,-3.14
191912,16.19,-2.56
192012,17.20,-1.55
192112,17.27,-1.48
192212,23.02,4.27
192312,9.72,-9.03
192412,12.76,-5.99
192512,16.63,-2.12
192612,20.25,1.50
192712,18.67,-0.08
192812,15.45,-3.30
192912,7.78,-10.97
193012,13.65,-5.10
193112,19.29,0.54
193212,10.18,-8.57
193312,15.77,-2.98
193412,14.34,-4.41
193512,17.31,-1.44
193612,19.95,1.20
193712,25.76,7.01
193812,22.00,3.25
193912,11.02,-7.73
194012,29.71,10.96
194112,27.98,9.23
194212,21.93,3.18
194312,15.64,-3.11
194412,21.48,2.73
194512,19.35,0.60
194612,12.12,-6.63
194712,11.48,-7.27
194812,15.02,-3.73
194912,12.99,-5.76
195012,25.42,6.67
195112,20.76,2.01
195212,26.19,7.44
195312,10.58,-8.17
195412,17.40,-1.35
195512,22.52,3.77
195612,13.56,-5.19
195712,19.48,0.73
195812,26.34,7.59
195912,11.63,-7.12
196012,15.73,-3.02
196112,13.19,-5.56
196212,19.18,0.43
196312,21.13,2.38
196412,17.67,-1.08
196512,18.08,-0.67
196612,13.07,-5.68
196712,23.06,4.31
196812,17.44,-1.31
196912,24.53,5.78
197012,24.68,5.93
197112,11.38,-7.37
197212,15.93,-2.82
197312,28.75,10.00
197412,15.25,-3.50
197512,16.59,-2.16
197612,7.98,-10.77
197712,12.39,-6.36
197812,22.84,4.09
197912,22.22,3.47
198012,16.16,-2.59
198112,21.59,2.84
198212,31.67,12.92
198312,40.14,21.39
198412,14.76,-3.99
198512,13.38,-5.37
198612,20.18,1.43
198712,16.17,-2.58
198812,12.42,-6.33
198912,11.80,-6.95
199012,11.82,-6.93
199112,16.02,-2.73
199212,19.72,0.97
199312,23.79,5.04
199412,16.71,-2.04
199512,27.68,8.93
199612,28.63,9.88
199712,18.37,-0.38
199812,31.87,13.12
199912,15.68,-3.07
200012,21.69,2.94
200112,22.27,3.52
200212,18.34,-0.41
200312,16.43,-2.32
200412,18.35,-0.40
200512,24.52,5.77
200612,21.35,2.60
200712,11.57,-7.18
200812,14.18,-4.57
200912,17.32,-1.43
201012,23.17,4.42
201112,14.53,-4.22
201212,20.78,2.03
201312,5.08,-13.67
201412,19.88,1.13
201512,10.39,-8.36
201612,22.55,3.80
201712,24.97,6.22
201812,16.57,-2.18
201912,22.29,3.54
202012,8.42,-10.33
202112,17.96,-0.79
