EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9991320,ALAMEDA CO., ,12/17/1992,1230,Tornado,0,F0,0,0,250,0,CA,PST, , ,C,1, ,0,0, , ,.2,23,0, ,0, , ,12/17/1992,1230,37.73,-122.15, , ,"","",1
10317116,ALAMEDA CO.,Livermore,04/25/1994,1150,Tornado,0,F0,0,0,50000,0,CA,PDT, , ,C,1, ,0,0, , ,.75,30,0, ,0, , ,04/25/1994,1150, , , , ,"A small tornado skipped across a residential housing development causing minor damage to houses.  A number of trees were toppled. ","",2
5575575,ALAMEDA CO.,OAKLAND,12/05/1996,0,Heavy Rain, , ,0,0,1000000,0,CA,PST, ,2055981,C,1,MTR,0,0, , , , ,10,E,10,E,OAKLAND,12/05/1996,1600, , , , ,"","",3
5575576,ALAMEDA CO.,OAKLAND,12/05/1996,415,Heavy Rain, , ,0,0,1000000,0,CA,PST, ,2055982,C,1,MTR,0,0, , , , ,10,E,10,E,OAKLAND,12/05/1996,416, , , , ,"","Wide spread heavy precipatation from Pacific storm. SFO 1.4" santa Cruz 2.0" Boulder Creek 2.3" Kentfield 2.0". Large pine tree fell through home in Oakland due to the wet soil and wind in the storm. power was out to as many as 3500 people in the area. Traffic accidents were nearly double normal with 200 during the afternoon commute.",4
5636121,ALAMEDA CO.,HAYWARD,01/11/1998,900,Heavy Rain, , ,1,0,0,0,CA,PST, ,2073444,C,1,MTR,0,0, , , , , , , , ,HAYWARD,01/11/1998,900, , , , ,"rain slick road and poor visibility caused auto accident","",5
5691769,ALAMEDA CO.,OAKLAND,02/09/1999,1400,Hail,.75, ,0,0,0,0,CA,PST, ,2404840,C,1,MTR,0,0,BROADCAST MEDIA, , , , , , , ,OAKLAND,02/09/1999,1410,37.78,-122.22,37.78,-122.22,"Smal hail fell in and around the Oakland Zoo.","",6
5525794,EAST BAY INTERIOR VALLEYS (ZONE), ,07/21/2006,1200,Heat, , ,0,0,0,0,CA,PST, ,1218201,Z,510,MTR,0,0,EMERGENCY MANAGER, , , , , , , , ,07/26/2006,1800, , , , ,"","Heat advisory conditions were experienced in the East Bay Valleys for several days in late August. Temperatures soared to as high as 112 degrees in some locations, with overnight lows holding in the mid and upper 70s. Several reports of heat related illness were reported.",7
5525793,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,07/21/2006,1200,Heat, , ,0,0,0,0,CA,PST, ,1218200,Z,511,MTR,0,0,EMERGENCY MANAGER, , , , , , , , ,07/26/2006,1800, , , , ,"","Intense heat settled over the East Bay Hills during this 5 day stretch in August. Temperatures at Mt.Diablo soared to over 100 degrees for 5 consecutive days with lows hovering near 80.",8
5526333,SAN FRANCISCO BAY SHORELINE (ZONE), ,07/22/2006,1400,Heat, , ,0,0,0,0,CA,PST, ,1218205,Z,508,MTR,0,0,BROADCAST MEDIA, , , , , , , , ,07/24/2006,1800, , , , ,"","A large dome of High Pressure brought hot conditions to the SF Bay Shoreline - with a moist southeast flow keeping temperatures unusually warm overnight. High temperatures reached as high as 103 degrees with low temperatures at night only falling into the lower 70s.",9
8643,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/06/2007,0,Frost/Freeze, , ,0,0,0,400000,CA,PST-8, ,1779,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,01/19/2007,0, , , , ,"Freezing temperatures over the period caused approximately $400,000 in crop damage - mainly to flowers. Low temperatures fell into the 20s and lower 30s many nights during this period.","Record cold wave settled upon the San Francisco and Monterey Bay Areas from January 6th through January 19th. Numerous record lows were experienced and agricultural damage totalled over $1 Billion State-Wide. Counties in the San Francisco and Monterey Bay areas reported damage in excess of $20 million.",10
38087,EAST BAY INTERIOR VALLEYS (ZONE), ,07/25/2007,700,Heat, , ,0,0,0,0,CA,PST-8, ,6539,Z,510,MTR,0,1,Newspaper, , , , , , , , ,07/25/2007,1600, , , , ,"An 11-month-old boy died in the back seat of the family car in Concord on July 25,2007 after his father apparently forgot to drop him off at day care and instead left him locked inside the vehicle while he spent the day at work. High temperatures in the area were generally around 85. |","An 11-month-old boy died in the back seat of the family car in Concord on July 25,2007 after his father apparently forgot to drop him off at day care and instead left him locked inside the vehicle while he spent the day at work.",11
142855,ALAMEDA CO.,MILLS COLLEGE,11/01/2008,2046,Heavy Rain, , ,0,0,15000,0,CA,PST-8, ,24589,C,1,MTR,5,1,Newspaper, , , ,1,SSE,1,SSE,MILLS COLLEGE,11/01/2008,2047,37.7564,-122.1902,37.7564,-122.1902,"Heavy rain caused many vehicle collisions in the San Francisco East Bay area on Saturday. One crash in particular resulted in a vehicle carrying six passengers flipping into the canal that splits Hegenberger Expressway near Hamilton Street in Oakland. The nineteen year old male driver died in the crash (indirect fatality).","A warm winter storm brought heavy rain to Northern and Central California inducing debris flows over recent fire scarred areas, causing power outages, downing trees and causing numerous traffic collisions.",12
148109,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/17/2008,630,Frost/Freeze, , ,0,0,20000,0,CA,PST-8, ,25394,Z,508,MTR,0,0,Newspaper, , , , , , , , ,12/17/2008,730, , , , ,"Freezing temperatures combined with residual moisture from the previous days' rain to cause several minor traffic accidents. Icy conditions led to at least three collisions on Highway 4, Highway 24, and on San Pablo Dam Road. Also, black ice is suspected as the culprit in two other accidents, one in Martinez and the other in Pleasanton.","A cold core low pressure system produced winter storm conditions causing low elevation snow, minor flooding and isolated strong wind through the period December 15 through 17, 2009. Snow amounts ranged from a few inches in the hills around the San Francisco Bay Area to as high as nine inches at Mount Hamilton.",13
172310,SAN FRANCISCO BAY SHORELINE (ZONE), ,05/17/2009,1000,Heat, , ,0,0,10000,0,CA,PST-8, ,29355,Z,508,MTR,0,0,Newspaper, , , , , , , , ,05/17/2009,1900, , , , ,"An overloaded electric transformer failed in Oakland causing more than 5,000 customers to lose power for about three hours.","High pressure aloft centered over Reno, NV along with weak offshore flow at the surface caused temperatures to rise to near 100 degrees in the inland valleys of north-central California. Heat exhausted individuals, blown electric transformers and power outages accompanied the heat.",14
