Variable:,tasmax
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1901,15.26,22.87,-0.47,23.48,22.72,21.26,15.91,13.22,17.50,17.85,25.89,23.05,23.19,14.05,17.23,16.74,15.53,20.24,18.92,24.84,10.07,17.19,12.97,12.06,11.37,23.55,19.63,13.19,17.25,18.06,11.29,15.56,20.65,11.93,20.36,11.31,15.62,23.09,14.71,14.16,13.19,22.51,15.28,19.88,25.88,17.27,10.74,18.41,13.12,16.47,12.48,13.66
1902,14.93,23.99,-0.98,23.16,21.90,20.62,15.34,13.68,18.13,18.52,27.05,24.15,22.81,13.32,16.62,16.89,14.38,18.97,19.53,25.15,10.27,17.83,13.42,12.26,11.11,24.19,18.15,12.10,16.09,17.69,11.53,16.08,20.61,12.17,21.25,10.42,16.02,22.13,14.46,14.58,13.70,23.35,13.86,20.60,25.78,16.64,10.86,19.24,12.58,17.28,12.34,13.14
1903,14.56,23.33,-0.73,23.03,21.41,20.96,14.34,13.69,17.90,18.20,26.46,23.48,23.09,12.64,16.50,16.61,14.18,18.58,19.30,24.41,10.40,17.55,13.46,11.92,10.01,23.50,18.01,11.97,15.78,17.47,11.83,16.01,19.87,12.22,20.83,10.20,16.03,21.23,14.31,14.54,13.65,22.91,13.39,20.24,24.21,15.89,11.18,18.81,12.40,17.21,11.54,12.22
1904,14.84,24.10,-1.30,24.01,22.21,21.43,15.54,12.20,16.56,17.00,26.83,23.93,23.10,14.06,15.80,15.78,13.83,19.51,19.02,25.64,8.70,16.32,11.92,10.56,9.43,24.43,18.01,12.86,16.84,18.26,10.07,14.62,20.36,10.65,20.34,9.74,14.96,22.71,15.14,13.28,12.19,22.83,13.81,20.36,25.72,16.99,9.27,18.04,13.55,16.49,10.67,13.65
1905,14.81,23.43,0.40,22.36,21.27,21.15,14.39,13.30,17.86,18.18,26.90,23.78,23.07,13.61,16.69,16.65,14.31,18.70,19.12,24.51,9.70,17.50,13.03,11.75,10.59,23.48,18.08,12.51,15.69,17.85,11.17,15.87,19.05,11.88,20.79,10.95,15.64,21.10,14.90,14.21,13.29,23.06,13.64,20.20,24.03,16.21,10.45,18.71,13.11,16.78,11.61,12.67
1906,14.93,24.01,-0.81,22.60,21.86,20.96,14.82,14.03,18.32,18.81,26.72,24.04,23.54,13.54,17.19,17.32,14.86,19.13,19.64,25.32,10.32,18.03,13.69,12.56,11.02,24.19,18.52,12.87,16.38,17.52,11.90,16.38,19.78,12.56,21.29,10.86,16.56,21.46,15.25,14.86,14.07,23.41,13.84,20.75,24.68,15.64,11.23,19.26,13.52,17.43,12.27,13.01
1907,14.84,24.36,-1.10,22.96,22.85,20.39,15.60,12.90,17.39,17.77,27.57,24.69,23.48,13.46,16.54,16.30,14.29,19.63,19.42,25.86,9.31,17.00,12.63,10.89,9.83,24.77,18.81,11.76,16.59,17.34,10.63,15.15,20.51,11.27,21.18,9.71,15.32,22.83,14.93,13.57,13.03,23.64,13.46,21.00,25.92,16.48,9.86,18.78,12.82,16.43,11.11,13.01
1908,15.24,24.52,-0.74,22.61,22.90,20.75,14.89,14.45,18.52,18.87,27.52,24.76,22.94,13.27,17.90,17.99,15.50,19.98,20.41,25.72,10.98,18.17,14.21,12.90,11.82,24.79,19.57,12.80,17.18,17.11,12.38,16.68,20.10,12.81,21.61,11.33,17.08,22.69,14.82,15.21,14.48,23.79,14.61,21.39,25.56,15.43,11.56,19.38,13.13,17.83,12.90,12.74
1909,14.62,24.39,-2.41,22.49,23.10,20.27,14.44,13.71,18.27,18.83,27.48,24.54,22.78,13.22,16.89,16.79,14.09,19.33,19.69,25.91,10.30,17.96,13.44,11.98,10.23,24.74,19.11,11.63,15.85,17.45,11.70,16.28,20.40,11.98,21.60,9.70,16.12,23.09,14.34,14.59,13.70,23.71,12.98,21.11,26.15,15.49,10.80,19.42,12.28,17.44,11.65,12.35
1910,15.50,23.94,-1.69,24.44,22.50,21.49,16.55,14.04,18.13,18.64,26.64,24.17,22.68,14.36,17.13,16.82,15.56,20.51,19.32,25.73,10.62,17.83,13.67,12.51,12.31,24.27,18.99,13.91,17.77,18.85,12.12,16.28,21.74,12.31,21.21,12.09,16.00,23.62,15.28,14.65,13.95,23.48,15.32,20.52,26.42,17.31,11.17,18.92,13.27,16.95,12.95,14.56
1911,15.18,25.21,-0.94,22.80,23.17,20.07,15.31,14.12,18.85,19.42,28.07,25.40,22.95,12.68,17.81,17.81,15.63,20.30,20.69,26.53,10.77,18.60,13.83,12.71,11.16,25.31,19.90,11.32,17.15,16.87,12.35,16.62,20.06,12.80,22.26,9.97,17.03,23.44,14.29,15.35,14.06,24.68,14.37,21.92,25.90,15.80,11.65,20.00,12.78,18.15,12.57,12.65
1912,14.54,23.26,0.71,22.02,21.47,20.19,13.56,13.72,18.10,18.29,26.81,23.60,23.19,12.39,15.93,15.92,13.92,18.15,18.94,24.64,9.87,17.68,13.21,10.98,10.30,23.28,17.92,11.49,15.37,16.86,11.39,16.06,19.25,11.66,21.02,9.86,15.32,21.48,14.14,14.20,13.59,23.19,13.45,20.08,24.56,15.04,10.53,18.88,12.82,16.82,10.92,11.24
1913,15.05,24.45,-0.53,22.15,22.48,20.65,14.24,15.19,19.72,20.00,27.24,24.76,23.20,12.61,18.07,18.07,15.92,19.74,20.82,24.98,11.09,19.35,14.66,12.91,11.47,24.29,19.66,12.08,16.97,17.01,13.03,17.69,19.20,13.71,22.02,11.21,17.09,22.19,14.14,16.02,14.87,24.18,14.77,21.69,24.61,15.23,12.38,20.19,12.43,18.28,12.56,12.10
1914,15.37,23.82,0.46,23.09,22.38,21.16,15.31,13.45,18.25,18.42,26.75,24.06,23.02,14.07,17.55,17.32,15.61,20.04,19.78,24.97,9.68,17.79,13.01,12.17,11.37,24.01,19.29,13.12,17.40,18.03,11.37,16.04,20.09,11.84,21.06,11.49,16.25,22.63,15.37,14.53,13.28,23.39,14.85,20.87,24.85,16.34,10.58,18.95,13.56,17.02,12.08,13.65
1915,15.05,24.29,0.58,22.42,22.01,20.98,14.34,13.94,18.40,18.48,26.84,24.41,23.30,14.02,16.56,16.63,14.27,18.20,19.50,25.36,10.82,17.89,13.63,11.84,11.03,24.30,18.40,12.51,15.23,17.81,12.27,16.52,19.41,12.36,21.29,10.69,15.71,21.60,15.44,14.46,13.76,23.62,12.89,20.68,25.02,16.04,11.62,19.11,13.74,16.93,11.73,12.72
